'dataset_directory', 'NUM_INPUT', 'NUM_HIDDEN', 'NUM_OUTPUT', 'BATCH_SIZE', 'INPUT_FRAME_TIMESTEP', 'INPUT_SCALE', 'NETWORK_SCALE', 'NUM_EPOCH', 'NUM_FRAMES', 'verbose', 'debug', 'record_all_hidden_spikes', 'lr', 'dt', 'reg_lambda_lower', 'reg_lambda_upper', 'reg_nu_upper', 'recurrent', 'evaluate', 'input_hidden_w_mean', 'input_hidden_w_sd', 'hidden_hidden_w_mean', 'hidden_hidden_w_sd', 'hidden_output_w_mean', 'hidden_output_w_sd', 'aug_combine_images', 'aug_swap_pixels', 'aug_swap_pixels_kSwap', 'aug_swap_pixels_pSwap', 'aug_swap_pixels_tSwap', 'cross_validation', 'cross_validation_run_all', 'sweeping_suffix', 'output_dir', 'model_description', 'accuracy'
~/data/rawHD/rawHD_40input/,40,512,20,256,20,0.00099,1,100,80,True,True,False,0.008,1,1e-10,1e-10,10,False,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,False,True,,HD_debug,run,0.9791564492398235
~/data/rawHD/rawHD_80input/,80,512,20,256,20,0.00099,1,100,80,True,True,False,0.008,1,1e-10,1e-10,10,False,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,False,True,,HD_debug,run,0.9872486512996567
~/data/rawHD/rawHD_80input/,80,512,20,256,20,0.00099,1,100,80,True,True,False,0.008,1,1e-10,1e-10,10,False,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,False,True,,HD_debug,run,0.9865129965669446
~/data/rawHD/rawHD_80input/,80,512,20,256,20,0.00099,1,100,80,True,True,False,0.008,1,1e-10,1e-10,20,False,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,False,True,,HD_debug,run,0.9811181951937225
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.2,10,100,True,True,False,0.01,1,0,0,0,False,False,1.0,4.0,0.0,0.4,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_debug_50,SC_run,0.31770723476059903
~/data/rawHD/rawHD_80input/,80,512,20,256,20,0.00099,1,10,80,True,False,False,0.008,1,1e-10,1e-10,20,False,True,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,False,True,,HD_CV_50epoch,HD_run,0.8178028445316331
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.2,10,100,True,True,False,0.01,1,0,0,0,False,False,1.0,4.0,0.0,0.4,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_debug_50,SC_run,0.29930394431554525
~/data/rawHD/rawHD_80input/,80,512,20,256,20,0.00099,1,10,80,True,False,False,0.008,1,1e-10,1e-10,20,False,True,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,False,True,,HD_CV_50epoch,HD_run,0.7790583619421285
~/data/rawHD/rawHD_80input/,80,512,20,256,20,0.00099,1,10,80,True,False,False,0.008,1,1e-10,1e-10,20,False,True,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,False,True,,HD_CV_50epoch,HD_run,0.7876410004904365
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.2,10,100,True,True,False,0.01,1,0,0,0,False,False,1.0,4.0,0.0,0.4,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_debug_50,SC_run,0.3013604724741616
